"Step","fanciful-brook-6 - train_loss","fanciful-brook-6 - train_loss__MIN","fanciful-brook-6 - train_loss__MAX","chocolate-cloud-5 - train_loss","chocolate-cloud-5 - train_loss__MIN","chocolate-cloud-5 - train_loss__MAX","upbeat-frog-4 - train_loss","upbeat-frog-4 - train_loss__MIN","upbeat-frog-4 - train_loss__MAX","pleasant-durian-3 - train_loss","pleasant-durian-3 - train_loss__MIN","pleasant-durian-3 - train_loss__MAX","treasured-fire-2 - train_loss","treasured-fire-2 - train_loss__MIN","treasured-fire-2 - train_loss__MAX"
"0","0.6528778438182505","0.6528778438182505","0.6528778438182505","0.5108471494297601","0.5108471494297601","0.5108471494297601","0.6462662885251563","0.6462662885251563","0.6462662885251563","0.657966858188211","0.657966858188211","0.657966858188211","0.650035707395503","0.650035707395503","0.650035707395503"
"1","0.6382086189352827","0.6382086189352827","0.6382086189352827","0.42359872527837955","0.42359872527837955","0.42359872527837955","0.6344465996013963","0.6344465996013963","0.6344465996013963","0.6363357063290322","0.6363357063290322","0.6363357063290322","0.6329423963663675","0.6329423963663675","0.6329423963663675"
"2","0.630929418865497","0.630929418865497","0.630929418865497","0.3739696376975009","0.3739696376975009","0.3739696376975009","0.6323684440752166","0.6323684440752166","0.6323684440752166","0.6271037610446624","0.6271037610446624","0.6271037610446624","0.6278437570558633","0.6278437570558633","0.6278437570558633"
"3","0.6261566611529217","0.6261566611529217","0.6261566611529217","0.32916858006187016","0.32916858006187016","0.32916858006187016","0.6298370705661921","0.6298370705661921","0.6298370705661921","0.6238294669924495","0.6238294669924495","0.6238294669924495","0.6250169814694486","0.6250169814694486","0.6250169814694486"
"4","0.6231444579972902","0.6231444579972902","0.6231444579972902","0.30672274689276013","0.30672274689276013","0.30672274689276013","0.6287254415310678","0.6287254415310678","0.6287254415310678","0.6207728510118721","0.6207728510118721","0.6207728510118721","0.6228708507525741","0.6228708507525741","0.6228708507525741"
"5","0.6209401286250634","0.6209401286250634","0.6209401286250634","0.291075365742731","0.291075365742731","0.291075365742731","0.6273457377745837","0.6273457377745837","0.6273457377745837","0.6194613143991897","0.6194613143991897","0.6194613143991897","0.6212726490428158","0.6212726490428158","0.6212726490428158"
"6","0.6189968083226096","0.6189968083226096","0.6189968083226096","0.28037590071357354","0.28037590071357354","0.28037590071357354","0.6283269009622586","0.6283269009622586","0.6283269009622586","0.6174292418968237","0.6174292418968237","0.6174292418968237","0.6197396273105633","0.6197396273105633","0.6197396273105633"
"7","0.6191517818979119","0.6191517818979119","0.6191517818979119","0.27180569595990084","0.27180569595990084","0.27180569595990084","0.6267536527782662","0.6267536527782662","0.6267536527782662","0.6170656436181967","0.6170656436181967","0.6170656436181967","0.6193322702931363","0.6193322702931363","0.6193322702931363"
"8","0.6178887047224942","0.6178887047224942","0.6178887047224942","0.2652599636926879","0.2652599636926879","0.2652599636926879","0.6259172821157908","0.6259172821157908","0.6259172821157908","0.6155849037791469","0.6155849037791469","0.6155849037791469","0.6188054461822883","0.6188054461822883","0.6188054461822883"
"9","0.6168656515654171","0.6168656515654171","0.6168656515654171","0.2597193927310853","0.2597193927310853","0.2597193927310853","0.6256067401169364","0.6256067401169364","0.6256067401169364","0.6145216999574784","0.6145216999574784","0.6145216999574784","0.6180977761394649","0.6180977761394649","0.6180977761394649"
"10","0.6168079023230726","0.6168079023230726","0.6168079023230726","0.2541464682266106","0.2541464682266106","0.2541464682266106","0.6253778216516827","0.6253778216516827","0.6253778216516827","0.6133532738144368","0.6133532738144368","0.6133532738144368","0.6173595853749559","0.6173595853749559","0.6173595853749559"
"11","0.616309339023553","0.616309339023553","0.616309339023553","0.2488870405985895","0.2488870405985895","0.2488870405985895","0.6235940728968986","0.6235940728968986","0.6235940728968986","0.6130400266585744","0.6130400266585744","0.6130400266585744","0.617584248060372","0.617584248060372","0.617584248060372"
"12","0.6162356838742263","0.6162356838742263","0.6162356838742263","0.245726658132001","0.245726658132001","0.245726658132001","0.6242230252726475","0.6242230252726475","0.6242230252726475","0.6117605531396992","0.6117605531396992","0.6117605531396992","0.6168105589143456","0.6168105589143456","0.6168105589143456"
"13","0.6150765537459361","0.6150765537459361","0.6150765537459361","0.2408348342484494","0.2408348342484494","0.2408348342484494","0.62377525840177","0.62377525840177","0.62377525840177","0.6116349758435251","0.6116349758435251","0.6116349758435251","0.6165632159485963","0.6165632159485963","0.6165632159485963"
"14","0.6142285080265126","0.6142285080265126","0.6142285080265126","0.23800651795964517","0.23800651795964517","0.23800651795964517","0.6229216276228013","0.6229216276228013","0.6229216276228013","0.6108462573655891","0.6108462573655891","0.6108462573655891","0.6166232414068108","0.6166232414068108","0.6166232414068108"
"15","0.6139965815472328","0.6139965815472328","0.6139965815472328","0.23603782125986525","0.23603782125986525","0.23603782125986525","0.6232749815791934","0.6232749815791934","0.6232749815791934","0.6097650567909214","0.6097650567909214","0.6097650567909214","0.6154499977888577","0.6154499977888577","0.6154499977888577"
"16","0.6146203225462442","0.6146203225462442","0.6146203225462442","0.23301896629444296","0.23301896629444296","0.23301896629444296","0.6225838028563643","0.6225838028563643","0.6225838028563643","0.6089322203244217","0.6089322203244217","0.6089322203244217","0.6154501434496161","0.6154501434496161","0.6154501434496161"
"17","0.6136733151298592","0.6136733151298592","0.6136733151298592","0.2297067401091695","0.2297067401091695","0.2297067401091695","0.6225510167299239","0.6225510167299239","0.6225510167299239","0.6084866822790974","0.6084866822790974","0.6084866822790974","0.6149282148742151","0.6149282148742151","0.6149282148742151"
"18","0.6133237965726747","0.6133237965726747","0.6133237965726747","0.22604148514835895","0.22604148514835895","0.22604148514835895","0.6222732265835862","0.6222732265835862","0.6222732265835862","0.6066177428420199","0.6066177428420199","0.6066177428420199","0.6149807633960374","0.6149807633960374","0.6149807633960374"
"19","0.6138229939283913","0.6138229939283913","0.6138229939283913","0.22474816670583073","0.22474816670583073","0.22474816670583073","0.6219630358024701","0.6219630358024701","0.6219630358024701","0.6048228452486847","0.6048228452486847","0.6048228452486847","0.6148388504316835","0.6148388504316835","0.6148388504316835"
"20","0.612950537626253","0.612950537626253","0.612950537626253","0.22242037535652256","0.22242037535652256","0.22242037535652256","0.6224257181445767","0.6224257181445767","0.6224257181445767","0.6044555251262863","0.6044555251262863","0.6044555251262863","0.6139643571568695","0.6139643571568695","0.6139643571568695"
"21","0.6130672734893353","0.6130672734893353","0.6130672734893353","0.2209602787966558","0.2209602787966558","0.2209602787966558","0.6213315311059906","0.6213315311059906","0.6213315311059906","0.6029780446539994","0.6029780446539994","0.6029780446539994","0.6140973991887755","0.6140973991887755","0.6140973991887755"
"22","0.6131528911446246","0.6131528911446246","0.6131528911446246","0.21863878438899725","0.21863878438899725","0.21863878438899725","0.6211271682099393","0.6211271682099393","0.6211271682099393","0.6020303938190734","0.6020303938190734","0.6020303938190734","0.6136754318123007","0.6136754318123007","0.6136754318123007"
"23","0.6119768960226442","0.6119768960226442","0.6119768960226442","0.21736138513043943","0.21736138513043943","0.21736138513043943","0.6216621326304973","0.6216621326304973","0.6216621326304973","0.6004441758684815","0.6004441758684815","0.6004441758684815","0.6126907002731792","0.6126907002731792","0.6126907002731792"
"24","0.6106784055013044","0.6106784055013044","0.6106784055013044","0.21588320343454143","0.21588320343454143","0.21588320343454143","0.6206016878437342","0.6206016878437342","0.6206016878437342","0.5983780705809438","0.5983780705809438","0.5983780705809438","0.6131712868610381","0.6131712868610381","0.6131712868610381"
"25","0.6113124560582696","0.6113124560582696","0.6113124560582696","0.21440407956110305","0.21440407956110305","0.21440407956110305","0.6201502766839173","0.6201502766839173","0.6201502766839173","0.5994700171309109","0.5994700171309109","0.5994700171309109","0.6120203119447579","0.6120203119447579","0.6120203119447579"
"26","0.6098031071514782","0.6098031071514782","0.6098031071514782","0.2129958544490553","0.2129958544490553","0.2129958544490553","0.6205834550958866","0.6205834550958866","0.6205834550958866","0.5966260278501943","0.5966260278501943","0.5966260278501943","0.6120082029078628","0.6120082029078628","0.6120082029078628"
"27","0.6095919843880142","0.6095919843880142","0.6095919843880142","0.212535655254537","0.212535655254537","0.212535655254537","0.6201057268156696","0.6201057268156696","0.6201057268156696","0.5967592643113309","0.5967592643113309","0.5967592643113309","0.6103176888291154","0.6103176888291154","0.6103176888291154"
"28","0.6081094888611907","0.6081094888611907","0.6081094888611907","0.2110250818454225","0.2110250818454225","0.2110250818454225","0.6202056871353099","0.6202056871353099","0.6202056871353099","0.5963947566871495","0.5963947566871495","0.5963947566871495","0.6103825466098711","0.6103825466098711","0.6103825466098711"
"29","0.6074480406326648","0.6074480406326648","0.6074480406326648","0.209263801179484","0.209263801179484","0.209263801179484","0.6197154476929994","0.6197154476929994","0.6197154476929994","0.5968924471337542","0.5968924471337542","0.5968924471337542","0.6091807761692922","0.6091807761692922","0.6091807761692922"
"30","0.6077078741679067","0.6077078741679067","0.6077078741679067","0.2080880233720839","0.2080880233720839","0.2080880233720839","0.6198748884047608","0.6198748884047608","0.6198748884047608","0.5979148535009353","0.5979148535009353","0.5979148535009353","0.6090546032435339","0.6090546032435339","0.6090546032435339"
"31","0.6065545658548427","0.6065545658548427","0.6065545658548427","0.20579843750666435","0.20579843750666435","0.20579843750666435","0.6195649566348245","0.6195649566348245","0.6195649566348245","0.5969277297485533","0.5969277297485533","0.5969277297485533","0.6083192582215354","0.6083192582215354","0.6083192582215354"
"32","0.6058093811369887","0.6058093811369887","0.6058093811369887","0.20539497121511355","0.20539497121511355","0.20539497121511355","0.6191062045773444","0.6191062045773444","0.6191062045773444","0.59596762769787","0.59596762769787","0.59596762769787","0.6073477773056623","0.6073477773056623","0.6073477773056623"
"33","0.6054933369136919","0.6054933369136919","0.6054933369136919","0.20351707644895578","0.20351707644895578","0.20351707644895578","0.6189465600762866","0.6189465600762866","0.6189465600762866","0.5944571128671873","0.5944571128671873","0.5944571128671873","0.606518600189858","0.606518600189858","0.606518600189858"
"34","0.6042965456204413","0.6042965456204413","0.6042965456204413","0.20220665737894308","0.20220665737894308","0.20220665737894308","0.6183534461879898","0.6183534461879898","0.6183534461879898","0.5928977284420159","0.5928977284420159","0.5928977284420159","0.6041548755120987","0.6041548755120987","0.6041548755120987"
"35","0.6040732861749716","0.6040732861749716","0.6040732861749716","0.20151146907402928","0.20151146907402928","0.20151146907402928","0.6188888779968003","0.6188888779968003","0.6188888779968003","0.5935629038902577","0.5935629038902577","0.5935629038902577","0.6043727632000078","0.6043727632000078","0.6043727632000078"
"36","0.6041734564753563","0.6041734564753563","0.6041734564753563","0.2005064901553062","0.2005064901553062","0.2005064901553062","0.6177933922166043","0.6177933922166043","0.6177933922166043","0.5924840490087078","0.5924840490087078","0.5924840490087078","0.6040730379247924","0.6040730379247924","0.6040730379247924"
